Name,Out Datetime,In Datetime,Voltage (kV),Duration (minutes),Outage Type,Cause,year,outage_year,threshold
Cascade Locks tap to Bonneville PH 1-Hood River No 1 115kV line,2012-01-19 17:33:00,2012-01-19 18:45:00,115.0,72,Auto,Weather,2012,{2012},49487.0
Cascade Locks-Hood River section of Bonneville PH 1-Hood River No 1 115kV line,2012-01-19 17:33:00,2012-02-03 16:20:00,115.0,21527,Auto,Weather,2012,{2012},49487.0
Bald Mountain tap-Underwood section of Underwood tap to Bonneville PH 1-Alcoa No 1&2 115kV line,2012-01-19 20:21:00,2012-01-19 23:13:00,115.0,172,Auto,Other,2012,{2012},49487.0
Bonneville PH 1-Alcoa No 1&2 115kV line,2012-01-19 20:21:00,2012-01-19 23:13:00,115.0,172,Auto,Other,2012,{2012},49487.0
Raver-Paul No 1 500kV line,2012-01-19 21:46:00,2012-01-19 21:52:00,500.0,6,Auto,Unknown,2012,{2012},49487.0
Monroe-Novelty Hill No 1 230kV line,2012-01-19 23:52:00,2012-01-20 23:39:00,230.0,1427,Auto,Other,2012,{2012},49487.0
Boardman-Ione No 1 69kV line,2012-01-20 18:45:00,2012-01-20 20:01:00,69.0,76,Auto,Other,2012,{2012},49487.0
Acton tap to Bonneville PH 1-Hood River No 1 115kV line,2012-01-21 05:03:00,2012-01-21 05:16:00,115.0,13,Auto,Unknown,2012,{2012},49487.0
Acton-Cascade Locks section of Bonneville PH 1-Hood River No 1 115kV line,2012-01-21 05:03:00,2012-01-21 05:16:00,115.0,13,Auto,Unknown,2012,{2012},49487.0
Bonneville PH 1-Hood River No 1 115kV line,2012-01-21 05:03:00,2012-01-21 05:16:00,115.0,13,Auto,Unknown,2012,{2012},49487.0
Bonneville-Acton section of Bonneville PH 1-Hood River No 1 115kV line,2012-01-21 05:03:00,2012-01-21 05:16:00,115.0,13,Auto,Unknown,2012,{2012},49487.0
Cascade Locks tap to Bonneville PH 1-Hood River No 1 115kV line,2012-01-21 05:03:00,2012-01-21 05:16:00,115.0,13,Auto,Unknown,2012,{2012},49487.0
Acton tap to Bonneville PH 1-Hood River No 1 115kV line,2012-01-21 05:22:00,2012-01-21 06:18:00,115.0,56,Auto,Unknown,2012,{2012},49487.0
Acton-Cascade Locks section of Bonneville PH 1-Hood River No 1 115kV line,2012-01-21 05:22:00,2012-01-21 17:50:00,115.0,748,Auto,Unknown,2012,{2012},49487.0
Bonneville PH 1-Hood River No 1 115kV line,2012-01-21 05:22:00,2012-01-21 17:50:00,115.0,748,Auto,Unknown,2012,{2012},49487.0
Bonneville-Acton section of Bonneville PH 1-Hood River No 1 115kV line,2012-01-21 05:22:00,2012-01-21 06:18:00,115.0,56,Auto,Unknown,2012,{2012},49487.0
Cascade Locks tap to Bonneville PH 1-Hood River No 1 115kV line,2012-01-21 05:22:00,2012-01-21 17:50:00,115.0,748,Auto,Unknown,2012,{2012},49487.0
Bald Mountain tap to Underwood tap to Bonneville PH 1-Alcoa No 1&2 115kV line,2012-01-21 07:46:00,2012-01-22 13:01:00,115.0,1755,Auto,Other,2012,{2012},49487.0
Bald Mountain tap-Underwood section of Underwood tap to Bonneville PH 1-Alcoa No 1&2 115kV line,2012-01-21 07:46:00,2012-01-22 13:20:00,115.0,1774,Auto,Other,2012,{2012},49487.0
Bonneville PH 1-Alcoa No 1&2 115kV line,2012-01-21 07:46:00,2012-01-21 10:54:00,115.0,188,Auto,Other,2012,{2012},49487.0
Bonneville-Underwood section of Bonneville PH 1-Alcoa No 1&2 115kV line,2012-01-21 07:46:00,2012-01-21 10:54:00,115.0,188,Auto,Other,2012,{2012},49487.0
Carson tap to Underwood tap to Bonneville PH 1-Alcoa No 1&2 115kV line,2012-01-21 07:46:00,2012-01-21 10:54:00,115.0,188,Auto,Other,2012,{2012},49487.0
Carson-Bald Mountain tap section of Underwood tap to Bonneville PH 1-Alcoa No 1&2 115kV line,2012-01-21 07:46:00,2012-01-22 13:01:00,115.0,1755,Auto,Other,2012,{2012},49487.0
North Bonneville Annex tap to Underwood tap to Bonneville PH 1-Alcoa No 1&2 115kV line,2012-01-21 07:46:00,2012-01-21 10:54:00,115.0,188,Auto,Other,2012,{2012},49487.0
Stevenson tap to Underwood tap to Bonneville PH 1-Alcoa No 1&2 115kV line,2012-01-21 07:46:00,2012-01-21 10:54:00,115.0,188,Auto,Other,2012,{2012},49487.0
Underwood tap to Bonneville PH 1-Alcoa No 1&2 115kV line,2012-01-21 07:46:00,2012-01-21 10:54:00,115.0,188,Auto,Other,2012,{2012},49487.0
Underwood tap-North Bonneville Annex section of Underwood tap to Bonneville PH 1-Alcoa No 1&2 115kV line,2012-01-21 07:46:00,2012-01-21 10:54:00,115.0,188,Auto,Other,2012,{2012},49487.0
Underwood-Alcoa section of Bonneville PH 1-Alcoa No 1&2 115kV line,2012-01-21 07:46:00,2012-01-21 10:54:00,115.0,188,Auto,Other,2012,{2012},49487.0
Chenoweth-Goldendale No 1 115kV line,2012-01-21 10:35:00,2012-01-21 14:55:00,115.0,260,Auto,Other,2012,{2012},49487.0
Chenoweth-Spearfish section of Chenoweth-Goldendale No 1 115kV line,2012-01-21 10:35:00,2012-01-21 14:29:00,115.0,234,Auto,Other,2012,{2012},49487.0
Spearfish tap to Chenoweth-Goldendale No 1 115kV line,2012-01-21 10:35:00,2012-01-21 14:29:00,115.0,234,Auto,Other,2012,{2012},49487.0
Spearfish-Goldendale section of Chenoweth-Goldendale No 1 115kV line,2012-01-21 10:35:00,2012-01-21 14:55:00,115.0,260,Auto,Other,2012,{2012},49487.0
Ross-Lexington No 1 230kV line,2012-01-21 19:20:00,2012-01-21 21:48:00,230.0,148,Auto,Other,2012,{2012},49487.0
Ross-Woodland section of Ross-Lexington No 1 230kV line,2012-01-21 19:20:00,2012-01-21 21:48:00,230.0,148,Auto,Other,2012,{2012},49487.0
Swift tap to Ross-Lexington No 1 230kV line,2012-01-21 19:20:00,2012-01-23 10:51:00,230.0,2371,Auto,Other,2012,{2012},49487.0
Woodland-Lexington section of Ross-Lexington No 1 230kV line,2012-01-21 19:20:00,2012-01-21 21:48:00,230.0,148,Auto,Other,2012,{2012},49487.0
Captain Jack-Olinda No 1 500kV line,2012-01-22 03:13:00,2012-01-22 03:17:00,500.0,4,Auto,Other,2012,{2012},49487.0
McNary PH-McNary No 5 230kV line,2012-01-25 13:32:00,2012-01-25 13:43:00,230.0,11,Auto,Other,2012,{2012},49487.0
Big Eddy-Celilo No 2 500kV line,2012-01-28 06:17:00,2012-01-28 11:07:00,500.0,290,Auto,Other,2012,{2012},49487.0
Celilo-Sylmar Pole No 4 1000kV line,2012-01-28 06:17:00,2012-01-28 11:11:00,1000.0,294,Auto,Other,2012,{2012},49487.0
Converter 2 tap to Celilo-Sylmar Pole No 4 1000kV line,2012-01-28 06:17:00,2012-01-28 11:11:00,1000.0,294,Auto,Other,2012,{2012},49487.0
